# 大辞林第二版 EPWING (EBWin用Large版)
#	Author	:	hishida
#	Date	:	Ver.2.0	2007.9.27	全漢字対応版
#
#	※当ファイルはDAIJIRIN.mapのUTF-8テキスト版です。
#
#	◎このファイルの見方
#		GAIJI	EPWINGの外字(書籍定義文字)です。hXXXXは半角、zXXXXは全角を表します。
#		unicode	対応するUnicodeです。uXXXX(16進数)で表記します。
#			2文字以上の合字の場合、uXXXX,uXXXXのようにカンマ区切りで続けて記述します。
#		ascii	Unicodeが定義されない場合の代替文字です。EBWinではクリップボードコピーで使用します。
#		#で始まる行はコメントです。行内の # から末尾まではコメントです。
#		(未使用)	『大辞林』本文中で出現しない未使用の外字です。
#
#	◎外字調査について
#		使用したCD-ROMは、『三省堂 スーパー大辞林 CD-ROM』です。
#		全角外字1499文字中、『大辞林』本文に現れる1369文字を調査しました。
#
#		Unicodeが見つけられなかった漢字は × を付記しています。
#		CJK漢字拡張-Aの文字は (Ext-A)、CJK漢字拡張-Bの文字は (Ext-B)とコメントしています。
#		(Ext-A)*、(Ext-B)* のように*のついた文字は、JIS2004に収録されているため、
#		MSゴシック・明朝ver5.0やメイリオフォント環境なら表示することができます。
#		CJK漢字拡張-A,Bの全ての文字を表示するには、MingLiU-ExtBなどのフォントが必要です。
#
#	◎二次使用について
#		このファイルの一部、または全部を、自由に改変、再利用、再配布することを許可します。
#
#	◎使用上の注意
#		WindowsXP SP2のMS UI Gothicでの使用を想定しています。
#		MS UI Gothicに収録されていない文字はコメントにしています。



#ebcode	unicode	ascii	#	char	comment
hC24E	u006E,u0323	n	#	n.	
hC24F	-	o	#	イタリック	
hC250	-	p	#	イタリック	
hC251	-	q	#	イタリック	
hC252	-	r	#	イタリック	
hC253	u0072,u0323	r	#	r.	
hC254	-	s	#	イタリック	
hC255	u0073,u0327	s	#	s¸	
hC256	u0073,u0323	s	#	s.	
hC257	-	t	#	イタリック	
hC258	u0074,u0323	t	#	t.	
hC259	-	v	#	イタリック	
hC25A	-	x	#	イタリック	
hC25B	-	y	#	イタリック	
hC25C	-	z	#	イタリック	
hC25D	u007A,u0323	z	#	z.	
hC25E	u0130	I	#	İ	
hC25F	u006D,u0307	m	#	m˙	
hC260	u006E,u0307	n	#	n˙	
hC261	u017C	z	#	ż	
hC262	u015A	S	#	Ś	
hC263	u0107	c	#	ć	
hC264	u0144	n	#	ń	
hC265	u015B	s	#	ś	
hC266	u00FD	y	#	ý	
hC267	u017A	z	#	ź	
hC268	u00EC	i	#	ì	
hC269	u00C4	A	#	Ä	
hC26A	u00D6	O	#	Ö	
hC26B	u00DC	U	#	Ü	
hC26C	u00FF	y	#	ÿ	
hC26D	u00C2	A	#	Â	
hC26E	-	o	#	o^.	
hC26F	u00FB	u	#	û	
hC270	u0100	A	#	Ā	
hC271	u0112	E	#	Ē	
hC272	u012A	I	#	Ī	
hC273	u014C	O	#	Ō	
hC274	u016A	U	#	Ū	
hC275	u012B	i	#	ī	
hC276	u006E,u0304	n	#	nˉ	
hC277	u0070,u0304	p	#	pˉ	
hC278	u016B	u	#	ū	
hC279	u0079,u0304	y	#	yˉ	
hC27A	u0141	L	#	Ł	
hC27B	u0142	l	#	ł	
hC27C	u00F8	o	#	ø	
hC27D	u0129	i	#	ĩ	
hC27E	u00F5	o	#	õ	
hC322	-	R	#	R°	
hC323	u00BA	0	#	º	
hC324	u00BD	1/2	#	½	
hC325	-	1/3	#		
hC326	u00B9	1	#	¹	
hC327	u00B2	2	#	²	
hC328	u00BE	3/4	#	¾	
hC329	u00B3	3	#	³	
hC32A	-	4	#	上付	
hC32B	-	5	#	上付	
hC32C	-	6	#	上付	
hC32D	-	7	#	上付	
hC32E	-	8	#	上付	
hC32F	-	9	#	上付	
hC330	-	M	#	上付	
hC331	-	a/b	#		
hC332	-	b	#	上付	
hC333	-		#		
hC334	u025F		#	ɟ	
hC335	-	i	#	上付	
hC336	-	m	#	上付	
hC337	-	n	#	上付	
hC338	-	r	#	上付	
hC339	-	t	#	上付	
hC33A	-	x	#	上付	
hC33B	-		#		
hC33C	-	y	#	上付	
hC33D	-	+	#	上付	
hC33E	-	-	#	上付	
hC33F	-	+-	#	±	
hC340	-		#		
hC341	-	0	#	下付	
hC342	-	1	#	下付	
hC343	-	2	#	下付	
hC344	-	3	#	下付	
hC345	-	4	#	下付	
hC346	-	5	#	下付	
hC347	-	6	#	下付	
hC348	-	7	#	下付	
hC349	-	8	#	下付	
hC34A	-	9	#	下付	
hC34B	-	A	#	下付	
hC34C	-	a	#	下付(α?)	
hC34D	-	b	#	下付	
hC34E	-	i	#	下付	
hC34F	-	k	#	下付	
hC350	-	m	#	下付	
hC351	-	n	#	下付	
hC352	-	r	#	下付	
hC353	-	x	#	下付	
hC354	-	一レ	#		
hC355	-	+	#		
hC356	-	-	#		
hC357	-	I	#		
hC358	-	W	#		
hC359	-	Z	#		
hC35A	u0067,u0300	g	#	g`	
hC35C	-	$	#		
hC35D	-	C	#		
hC360	-	レ	#		
hC364	-	一	#		
hC365	-	下	#		
hC366	-	三	#		
hC367	-	上	#		
hC368	-	上レ	#		
hC369	-	中	#		
hC36A	-	ニ	#		
hC36B	u0115	e	#	ĕ	
hC36C	u010C	C	#	Č	
hC36D	u0160	S	#	Š	
hC36E	u01CE	a	#	ǎ	
hC36F	u010D	c	#	č	
hC370	u011B	e	#	ě	
hC371	u0148	n	#	ň	
hC372	u0159	r	#	ř	
hC373	u0161	s	#	š	
hC374	u017E	z	#	ž	
hC375	u30F0		#	ヰ	
hC376	u30F1		#	ヱ	
hC377	u026F,u0308		#	ɯ¨	
hC378	u0270		#	ɰ	
hC379	-	u	#	u~'	
hC37A	u0294		#	ʔ	
hC37B	u0266		#	ɦ	
hC37C	u00DF	ss	#	ß	
hC37D	-	I	#		
hC37E	-	N	#		
hC421	u0272		#	ɲ	
hC422	u02D0		#	ː	
hC423	-		#		

#ebcode	unicode	ascii	#	char	comment
zA121	u4EFF		#	仿	
zA122	u4F49		#	佉	
zA123	u4F97		#	侗	
zA124	u5018		#	倘	
zA125	u5053		#	偓	
zA126	u5094		#	傔	
zA127	u5096		#	傖	
zA128	u50C4		#	僄	
zA129	u50E6		#	僦	
zA12A	u5155		#	兕	
zA12B	u51F4		#	凴	
zA12C	u5201		#	刁	
zA12D	u5249		#	剉	
zA12E	u5257		#	剗	
zA12F	u5282		#	劂	
zA130	u5293		#	劓	
zA131	u52D6		#	勖	
