# 大辞林第二版 EPWING (EBWin用Large版)
#	Author	:	hishida
#	Date	:	Ver.2.0	2007.9.27	全漢字対応版
#
#	※当ファイルはDAIJIRIN.mapのUTF-8テキスト版です。
#
#	◎このファイルの見方
#		GAIJI	EPWINGの外字(書籍定義文字)です。hXXXXは半角、zXXXXは全角を表します。
#		unicode	対応するUnicodeです。uXXXX(16進数)で表記します。
#			2文字以上の合字の場合、uXXXX,uXXXXのようにカンマ区切りで続けて記述します。
#		ascii	Unicodeが定義されない場合の代替文字です。EBWinではクリップボードコピーで使用します。
#		#で始まる行はコメントです。行内の # から末尾まではコメントです。
#		(未使用)	『大辞林』本文中で出現しない未使用の外字です。
#
#	◎外字調査について
#		使用したCD-ROMは、『三省堂 スーパー大辞林 CD-ROM』です。
#		全角外字1499文字中、『大辞林』本文に現れる1369文字を調査しました。
#
#		Unicodeが見つけられなかった漢字は × を付記しています。
#		CJK漢字拡張-Aの文字は (Ext-A)、CJK漢字拡張-Bの文字は (Ext-B)とコメントしています。
#		(Ext-A)*、(Ext-B)* のように*のついた文字は、JIS2004に収録されているため、
#		MSゴシック・明朝ver5.0やメイリオフォント環境なら表示することができます。
#		CJK漢字拡張-A,Bの全ての文字を表示するには、MingLiU-ExtBなどのフォントが必要です。
#
#	◎二次使用について
#		このファイルの一部、または全部を、自由に改変、再利用、再配布することを許可します。
#
#	◎使用上の注意
#		WindowsXP SP2のMS UI Gothicでの使用を想定しています。
#		MS UI Gothicに収録されていない文字はコメントにしています。



#ebcode	unicode	ascii	#	char	comment
zA57D	u64CC		#	擌	
zA621	u64CE		#	擎	
zA622	u6317		#	挗	
zA623	u64D0		#	擐	
zA624	u630D		#	挍	
zA625	u642F		#	搯	
zA626	u64F7		#	擷	
zA627	u6399		#	掙	
zA628	u62B3		#	抳	
zA629	u651E		#	攞	
zA62A	u6303		#	挃	
zA62B	u64BE		#	撾	
zA62C	u646D		#	摭	
zA62D	u71AE		#	熮	
zA62F	u70D1		#	烑	
zA630	u7075		#	灵	
zA631	u7151		#	煑	
zA632	u7215		#	爕	
zA633	u7104		#	焄	
zA634	u7366		#	獦	
zA635	u7327		#	猧	
zA636	u733D		#	猽	
zA637	u7352		#	獒	
zA638	u736F		#	獯	
zA639	u736B		#	獫	
zA63A	u7381		#	玁	
zA63B	u72C1		#	狁	
zA63C	u72FB		#	狻	
zA63D	u703C		#	瀼	
zA63E	u7023		#	瀣	
zA63F	u6D3F		#	洿	
zA640	u6FCA		#	濊	
zA641	u6FA0		#	澠	
zA642	u6F62		#	潢	
zA643	u704A		#	灊	
zA644	u6DDB		#	淛	
zA645	u6D98		#	涘	
zA646	u6E4C		#	湌	
zA647	u7054		#	灔	
zA649	u6D94		#	涔	
zA64A	u6DAC		#	涬	
zA64B	u90BE		#	邾	
zA64C	u9118		#	鄘	
zA64D	u90B6		#	邶	
zA64E	u9100		#	鄀	
zA64F	u913D		#	鄽	
zA650	u83C7		#	菇	
zA651	u83C6		#	菆	
zA652	u84C0		#	蓀	
zA653	u85CA		#	藊	
zA654	u8605		#	蘅	
zA655	u82BA		#	芺	
zA656	u84BA		#	蒺	
zA657	u853E		#	蔾	
zA658	u863C		#	蘼	
zA659	u8581		#	薁	
zA65A	u8452		#	葒	
zA65B	u84EF		#	蓯	
zA65C	u84BE		#	蒾	
zA65D	u8629		#	蘩	
zA65E	u850C		#	蔌	
zA65F	u851E		#	蔞	
zA660	u83DD		#	菝	
zA661	u857D		#	蕽	
zA662	u8621		#	蘡	
zA663	u831B		#	茛	
zA664	u837D		#	荽	
zA665	u5B7D		#	孽	
zA666	u845C		#	葜	
zA667	u83C0		#	菀	
zA668	u859F		#	薟	
zA669	u82BE		#	芾	
zA66A	u8618		#	蘘	
zA66B	u8532		#	蔲	
zA66C	u852F		#	蔯	
zA66D	u8357		#	荗	
zA66E	u8394		#	莔	
zA66F	u5676		#	噶	
zA670	u85CB		#	藋	
zA671	u83A7		#	莧	
zA672	u82C6		#	苆	
zA673	u84EA		#	蓪	
zA674	u8401		#	萁	
zA675	u85E6		#	藦	
zA676	u85B7		#	薷	
zA677	u861E		#	蘞	
zA678	u8395		#	莕	
zA679	u8485		#	蒅	
zA67B	u82BF		#	芿	
zA67C	u6086		#	悆	
zA67D	u5FDE		#	忞	
zA67E	u60F8		#	惸	
zA721	u60DD		#	惝	
zA722	u6033		#	怳	
zA723	u60D4		#	惔	
zA724	u600D		#	怍	
zA725	u60CB		#	惋	
zA726	u6246		#	扆	
zA727	u66DB		#	曛	
zA728	u6600		#	昀	
zA729	u662A		#	昪	
zA72A	u668D		#	暍	
zA72B	u81D7		#	臗	
zA72C	u81DB		#	臛	
zA72D	u8198		#	膘	
zA72E	u69BA		#	榺	
zA72F	u6A3E		#	樾	
zA730	u6AC6		#	櫆	
zA731	u67C0		#	柀	
zA732	u68F1		#	棱	
zA733	u6A52		#	橒	
zA734	u6A9E		#	檞	
zA735	u6AA8		#	檨	
zA736	u676E		#	杮	
zA737	u6949		#	楉	
zA738	u6A3B		#	樻	
zA73A	u6855		#	桕	
zA73B	u68FC		#	棼	
zA73C	u69FE		#	槾	
zA73D	u6957		#	楗	
zA73E	u68D9		#	棙	
zA740	u6844		#	桄	
zA741	u6774		#	杴	
zA742	u6792		#	枒	
zA743	u6AAB		#	檫	
zA744	u6748		#	杈	
zA745	u6B0B		#	欋	
zA746	u68C5		#	棅	
zA747	u6980		#	榀	
zA748	u68FB		#	棻	
zA749	u682D		#	栭	
zA74A	u69AD		#	榭	
zA74B	u68CC		#	棌	
zA74C	u6B35		#	欵	
zA74D	u6BA9		#	殩	
zA74E	u6BAE		#	殮	
zA74F	u69E9		#	槩	
zA750	u6AF2		#	櫲	
zA753	u7A40		#	穀	
zA754	u8481		#	蒁	
zA755	u8FF1		#	迱	
zA757	u9002		#	适	
zA758	u9008		#	逈	
zA759	u8FCD		#	迍	
zA75A	u902D		#	逭	
zA75B	u8FEE		#	迮	
zA75C	u7488		#	璈	
zA75D	u7444		#	瑄	
zA75E	u74B1		#	璱	
zA75F	u73A6		#	玦	
zA760	u742F		#	琯	
zA761	u7499		#	璙	
zA762	u73C5		#	珅	
zA763	u73E3		#	珣	
zA764	u73A0		#	玠	
zA765	u74C8		#	瓈	
zA766	u74AB		#	璫	
zA767	u742B		#	琫	
zA768	u744D		#	瑍	
zA769	u740A		#	琊	
zA76A	u75BF		#	疿	
zA76B	u7655		#	癕	
zA76C	u76A5		#	皥	
zA76D	u76AA		#	皪	
zA76E	u76E6		#	盦	
zA76F	u76D4		#	盔	
zA770	u7794		#	瞔	
zA771	u7760		#	睠	
zA773	u779F		#	瞟	
zA774	u778D		#	瞍	
zA775	u7736		#	眶	
zA777	u757E		#	畾	
zA778	u77EA		#	矪	
zA779	u77EC		#	矬	
zA77A	u7A6D		#	穭	
zA77C	u88BD		#	袽	
zA77D	u8945		#	襅	
zA77E	u7B6F		#	筯	
zA821	u5E18		#	帘	
zA822	u7B07		#	笇	
zA823	u7BD7		#	篗	
zA824	u7C61		#	籡	
zA825	u7C57		#	籗	
zA826	u8932		#	褲	
zA827	u8919		#	褙	
zA828	u7CBF		#	粿	
zA82B	u7E2C		#	縬	
zA82C	u7F47		#	罇	
zA82D	u7E86		#	纆	
zA82E	u8016		#	耖	
zA82F	u801F		#	耟	
zA830	u8249		#	艉	
zA831	u8CFE		#	賾	
zA832	u87EB		#	蟫	
zA833	u873A		#	蜺	
zA834	u86A8		#	蚨	
zA835	u87ED		#	蟭	
zA836	u8810		#	蠐	
zA837	u87AC		#	螬	
zA838	u871F		#	蜟	
zA839	u883C		#	蠼	
zA83A	u878B		#	螋	
zA83B	u868D		#	蚍	
zA83C	u87DF		#	蟟	
zA83D	u86C1		#	蛁	
zA83E	u871E		#	蜞	
zA841	u876F		#	蝯	
zA843	u9D52		#	鵒	
zA844	u9D1D		#	鴝	
zA845	u9E1C		#	鸜	
zA846	u9E07		#	鸇	
zA847	u9D96		#	鶖	
zA849	u9E0D		#	鸍	
zA84A	u9D69		#	鵩	
zA84B	u9DA1		#	鶡	
zA84C	u9DF4		#	鷴	
zA84E	u9DE7		#	鷧	
zA84F	u93CC		#	鏌	
zA850	u9381		#	鎁	
zA851	u9371		#	鍱	
zA852	u9299		#	銙	
zA853	u91ED		#	釭	
zA854	u9267		#	鉧	
zA855	u9351		#	鍑	
zA856	u93FD		#	鏽	
zA857	u9315		#	錕	
zA858	u92C2		#	鋂	
zA859	u92E7		#	鋧	
zA85A	u9434		#	鐴	
zA85C	u92D0		#	鋐	
zA85D	u8E54		#	蹔	
zA85F	u8E36		#	踶	
zA860	u8A75		#	詵	
zA861	u8AD0		#	諐	
zA862	u8AAE		#	誮	
zA863	u8B2D		#	謭	
zA864	u8AB7		#	誷	
zA865	u89F6		#	觶	
zA866	u91C4		#	釄	
zA867	u91BC		#	醼	
zA868	u91A8		#	醨	
zA869	u91F1		#	釱	
zA86A	u91FB		#	釻	
zA86B	u939B		#	鎛	
zA86C	u9427		#	鐧	
zA86E	u9243		#	鉃	
zA86F	u7E87		#	纇	
zA870	u71B2		#	熲	
zA871	u981E		#	頞	
zA872	u9856		#	顖	
zA873	u84B4		#	蒴	
zA874	u857A		#	蕺	
zA875	u82A9		#	芩	
zA876	u4F7A		#	佺	
zA877	u4F7E		#	佾	
zA878	u4FCF		#	俏	
zA879	u503B		#	倻	
zA87A	u5135		#	儵	
zA87B	u5666		#	噦	
zA87C	u55C9		#	嗉	
zA87D	u5630		#	嘰	
zA87E	u5412		#	吒	
zA921	u5535		#	唵	
zA922	u553C		#	唼	
zA923	u57E6		#	埦	
zA924	u589D		#	墝	
zA925	u57F5		#	埵	
zA926	u579C		#	垜	
zA927	u58A9		#	墩	
zA928	u5733		#	圳	
zA929	u58D2		#	壒	
zA92A	u7F97		#	羗	
zA92B	u6422		#	搢	
zA92C	u6429		#	搩	
zA92D	u6529		#	攩	
zA92E	u64E4		#	擤	
zA92F	u6335		#	挵	
zA930	u62FC		#	拼	
zA931	u64FB		#	擻	
zA932	u63BD		#	掽	
zA933	u6E51		#	湑	
zA934	u6FF9		#	濹	
zA935	u6CD4		#	泔	
zA936	u728E		#	犎	
zA937	u685B		#	桛	
zA938	u68A3		#	梣	
zA939	u6A0F		#	樏	
zA93A	u68BB		#	梻	
zA93B	u6A50		#	橐	
zA93C	u6898		#	梘	
zA93D	u68B2		#	梲	
zA93E	u6A45		#	橅	
zA93F	u6A89		#	檉	
zA941	u6AE7		#	櫧	
zA942	u67BB		#	枻	
zA943	u67C3		#	柃	
zA944	u6831		#	栱	
zA945	u682C		#	栬	
zA946	u6A1D		#	樝	
zA947	u6A56		#	橖	
zA948	u6733		#	朳	
zA949	u68ED		#	棭	
zA94A	u6882		#	梂	
zA94C	u69B0		#	榰	
zA94D	u67F7		#	柷	
zA94E	u69F5		#	槵	
zA94F	u6A94		#	檔	
zA950	u686B		#	桫	
zA951	u6B0F		#	欏	
zA952	u6793		#	枓	
zA953	u6972		#	楲	
zA954	u816D		#	腭	
zA955	u80F3		#	胳	
zA956	u8168		#	腨	
zA957	u6713		#	朓	
zA958	u9C27		#	鰧	
zA959	u84CF		#	蓏	
zA95A	u73AB		#	玫	
zA95B	u7430		#	琰	
zA95C	u7447		#	瑇	
zA95D	u74A9		#	璩	
zA95E	u73E7		#	珧	
zA95F	u7440		#	瑀	
zA960	u7452		#	瑒	
zA961	u746D		#	瑭	
zA962	u7394		#	玔	
zA963	u73D6		#	珖	
zA964	u73A2		#	玢	
zA965	u76B6		#	皶	
zA966	u9EAC		#	麬	
zA967	u7868		#	硨	
zA968	u78E0		#	磠	
zA969	u78E4		#	磤	
zA96A	u78F2		#	磲	
zA96B	u780D		#	砍	
zA96C	u787E		#	硾	
zA96D	u78B0		#	碰	
zA96E	u7847		#	硇	
zA96F	u7900		#	礀	
zA970	u757A		#	畺	
zA971	u88F0		#	裰	
zA972	u88D1		#	裑	
zA973	u8898		#	袘	
zA974	u8940		#	襀	
zA975	u88D3		#	裓	
zA977	u8918		#	褘	
zA978	u8939		#	褹	
zA979	u8962		#	襢	
zA97A	u8928		#	褨	
zA97B	u7BCA		#	篊	
zA97C	u7B27		#	笧	
zA97D	u7C01		#	簁	
zA97E	u7C0E		#	簎	
zAA21	u7C36		#	簶	
zAA22	u7C70		#	籰	
zAA23	u7C59		#	籙	
zAA24	u7C6D		#	籭	
zAA25	u7BAF		#	箯	
zAA26	u7C51		#	籑	
zAA27	u8347		#	荇	
zAA28	u84CE		#	蓎	
zAA29	u7B2F		#	笯	
zAA2B	u7BC5		#	篅	
zAA2C	u7C33		#	簳	
zAA2D	u7C39		#	簹	
zAA2E	u7BD4		#	篔	
zAA31	u7B72		#	筲	
zAA32	u7B2D		#	笭	
zAA33	u7B4E		#	筎	
zAA34	u7F96		#	羖	
zAA35	u7C79		#	籹	
zAA36	u7C8F		#	粏	
zAA37	u7CC8		#	糈	
zAA38	u7CEB		#	糫	
zAA39	u7CBC		#	粼	
zAA3A	u7C94		#	粔	
zAA3B	u7CB6		#	粶	
zAA3C	u7CD9		#	糙	
zAA3D	u7CC4		#	糄	
zAA3E	u7CAC		#	粬	
zAA3F	u7CF5		#	糵	
zAA40	u7D3D		#	紽	
zAA41	u7DCC		#	緌	
zAA42	u7D41		#	絁	
zAA43	u7D07		#	紇	
zAA44	u7E91		#	纑	
zAA45	u7DE6		#	緦	
zAA46	u7D1E		#	紞	
zAA47	u7E8D		#	纍	
zAA49	u7FBF		#	羿	
zAA4A	u7FFA		#	翺	
zAA4B	u7FE5		#	翥	
zAA4C	u7F95		#	羕	
zAA4D	u8772		#	蝲	
zAA4E	u87D6		#	蟖	
zAA4F	u86B8		#	蚸	
zAA50	u8713		#	蜓	
zAA51	u873E		#	蜾	
zAA52	u8787		#	螇	
zAA53	u8801		#	蠁	
zAA54	u8731		#	蜱	
zAA56	u86FA		#	蛺	
zAA57	u8675		#	虵	
zAA58	u8771		#	蝱	
zAA59	u8814		#	蠔	
zAA5A	u8764		#	蝤	
zAA5B	u86D1		#	蛑	
zAA5C	u880A		#	蠊	
zAA5D	u8806		#	蠆	
zAA5E	u87A0		#	螠	
zAA5F	u9238		#	鈸	
zAA60	u9311		#	錑	
zAA61	u93BA		#	鎺	
zAA62	u9370		#	鍰	
zAA63	u93C1		#	鏁	
zAA64	u92B2		#	銲	
zAA65	u9239		#	鈹	
zAA66	u93DF		#	鏟	
zAA67	u9416		#	鐖	
zAA68	u946F		#	鑯	
zAA69	u95CB		#	闋	
zAA6B	u93F1		#	鏱	
zAA6C	u923C		#	鈼	
zAA6E	u9B0C		#	鬌	
zAA6F	u9796		#	鞖	
zAA70	u976A		#	靪	
zAA71	u979A		#	鞚	
zAA72	u976E		#	靮	
zAA73	u9B20		#	鬠	
zAA74	u9C58		#	鱘	
zAA75	u9BAC		#	鮬	
zAA76	u9C70		#	鱰	
zAA77	u9C6A		#	鱪	
zAA78	u9BF3		#	鯳	
zAA79	u9C75		#	鱵	
zAA7A	u9BEF		#	鯯	
zAA7B	u9BE7		#	鯧	
zAA7C	u9B73		#	魳	
zAA7D	u9BCE		#	鯎	
zAA7E	u9BE5		#	鯥	
zAB21	u9B84		#	鮄	
zAB22	u9C69		#	鱩	
zAB23	u9C6E		#	鱮	
zAB24	u9BC7		#	鯇	
zAB25	u9B9E		#	鮞	
zAB26	u9C16		#	鰖	
zAB27	u9BB8		#	鮸	
zAB28	u9BF7		#	鯷	
zAB29	u9B6C		#	魬	
zAB2A	u9BD8		#	鯘	
zAB2B	u9C6B		#	鱫	
zAB2C	u9C5D		#	鱝	
zAB2D	u9C4F		#	鱏	
zAB2E	u9C53		#	鱓	
zAB2F	u9C31		#	鰱	
zAB30	u9B8A		#	鮊	
zAB31	u9C5B		#	鱛	
zAB32	u9BBE		#	鮾	
zAB33	u9C41		#	鱁	
zAB34	u9BA7		#	鮧	
zAB35	u9B66		#	魦	
zAB36	u9C6D		#	鱭	
zAB37	u5B52		#	孒	
zAB38	u752A		#	甪	
zAB39	u53B4		#	厴	
zAB3A	u5C29		#	尩	
zAB3B	u8F66		#	车	車の簡体字
zAB3C	u7535		#	电	電の簡体字
zAB3D	u908C		#	邌	
zAB3E	u4ED0		#	仐	
zAB3F	u4E48		#	么	
zAB40	u8803		#	蠃	
zAB41	u5157		#	兗	
zAB42	u77E0		#	矠	
zAB43	u77DF		#	矟	
zAB44	u52BB		#	劻	
zAB45	u52F0		#	勰	
zAB46	u65B2		#	斲	
zAB47	u59E7		#	姧	
zAB48	u5B25		#	嬥	
zAB49	u59A4		#	妤	
zAB4A	u5A9E		#	媞	
zAB4C	u5ECB		#	廋	
zAB4D	u5EBF		#	庿	
zAB4E	u6112		#	愒	
zAB4F	u618D		#	憍	
zAB50	u6110		#	愐	
zAB51	u8C47		#	豇	
zAB52	u8C49		#	豉	
zAB53	u96D8		#	雘	
zAB54	u5F54		#	彔	
zAB55	u9095		#	邕	
zAB56	u96BA		#	隺	
zAB57	u5E6B		#	幫	
zAB58	u5E2E		#	帮	
zAB59	u6BC8		#	毈	
zAB5B	u5F7D		#	彽	
zAB5C	u5FB8		#	徸	
zAB5D	u912F		#	鄯	
zAB5E	u90C4		#	郄	
zAB5F	u9099		#	邙	
zAB60	u96A9		#	隩	
zAB61	u72B0		#	犰	
zAB62	u72F3		#	狳	
zAB63	u7371		#	獱	
zAB64	u8C9B		#	貛	
zAB65	u6532		#	攲	
zAB66	u7217		#	爗	
zAB67	u6ECE		#	滎	
zAB68	u7160		#	煠	
zAB69	u71C4		#	燄	
zAB6A	u70BB		#	炻	
zAB6B	u70E4		#	烤	
zAB6C	u7097		#	炗	
zAB6D	u5261		#	剡	
zAB6E	u6609		#	昉	
zAB6F	u6630		#	昰	
zAB70	u7517		#	甗	
zAB72	u74EB		#	瓫	
zAB74	u6554		#	敔	
zAB75	u5FE9		#	忩	
zAB76	u6BFF		#	毿	
zAB77	u7635		#	瘵	
zAB78	u75CE		#	痎	
zAB79	u764B		#	癋	
zAB7A	u7592		#	疒	
zAB7B	u7664		#	癤	
zAB7C	u766D		#	癭	
zAB7D	u7619		#	瘙	
zAB7E	u75DF		#	痟	
zAC21	u75CF		#	痏	
zAC22	u7734		#	眴	
zAC23	u777A		#	睺	
zAC24	u6BD7		#	毗	
zAC25	u7FEE		#	翮	
zAC27	u7A2D		#	稭	
zAC28	u7A39		#	稹	
zAC29	u7946		#	祆	
zAC2A	u7996		#	禖	
zAC2B	u7681		#	皁	
zAC2C	u769D		#	皝	
zAC2D	u7FC3		#	翃	
zAC2E	u8222		#	舢	
zAC2F	u8260		#	艠	
zAC32	u8DAF		#	趯	
zAC33	u91B6		#	醶	
zAC34	u8DD1		#	跑	
zAC35	u8E70		#	蹰	
zAC36	u8E83		#	躃	
zAC37	u8DC6		#	跆	
zAC38	u97C9		#	韉	
zAC39	u9960		#	饠	
zAC3A	u8EBB		#	躻	
zAC3B	u9AF9		#	髹	
zAC3C	u9AC1		#	髁	
zAC3D	u991B		#	餛	
zAC3E	u993A		#	餺	
zAC3F	u98E3		#	飣	
zAC40	u98F0		#	飰	
zAC41	u9946		#	饆	
zAC42	u974F		#	靏	
zAC43	u95A6		#	閦	
zAC44	u95C8		#	闈	
zAC45	u986C		#	顬	
zAC46	u980A		#	頊	
zAC47	u9AB6		#	骶	
zAC48	u9AD0		#	髐	
zAC4A	u9D8D		#	鶍	
zAC4B	u9D32		#	鴲	
zAC4C	u9E15		#	鸕	
zAC4D	u9D7C		#	鵼	
zAC4E	u9DC0		#	鷀	
zAC50	u9F39		#	鼹	
zAC51	u9F37		#	鼷	
zAC52	u9AD6		#	髖	
zAC54	u9E0A		#	鸊	
zAC55	u9DC9		#	鷉	
zAC56	u9D5F		#	鵟	
zAC57	u9DDF		#	鷟	
zAC58	u9D42		#	鵂	
zAC59	u9DB9		#	鶹	
zAC5A	u9D17		#	鴗	
zAC5B	u9DDA		#	鷚	
zAC5C	u9D47		#	鵇	
zAC5D	u9D8A		#	鶊	
zAC5E	u9DBC		#	鶼	
zAC5F	u89EB		#	觫	
zAC60	u89D8		#	觘	
zAC61	u89FF		#	觿	
zAC62	u5255		#	剕	
zAC63	u98B8		#	颸	
zAC64	u98C7		#	飇	
zAC65	u98C8		#	飈	
zAC66	u8D09		#	贉	
zAC67	u8CD6		#	賖	
zAC68	u8D6C		#	赬	
zAC69	u9F17		#	鼗	
zAC6A	u9F10		#	鼐	
zAC6B	u9F3A		#	鼺	
zAC6C	u9F5D		#	齝	
zAC6D	u9F6D		#	齭	
zAC6E	u9F75		#	齵	
zAC6F	u9F97		#	龗	
zAC70	u84C2		#	蓂	
zAC71	u85CE		#	藎	
zAC72	u847C		#	葼	
zAC73	u833C		#	茼	
zAC74	u85ED		#	藭	
zAC75	u85BC		#	薼	
zAC76	u83EA		#	菪	
zAC77	u83A9		#	莩	
zAC78	u84FD		#	蓽	
zAC79	u82D5		#	苕	
zAC7A	u82A1		#	芡	
zAC7B	u833A		#	茺	
zAC7D	u8524		#	蔤	
zAD21	u8448		#	葈	
zAD22	u4F60		#	你	
zAD23	u511B		#	儛	
zAD25	u587C		#	塼	
zAD26	u577C		#	坼	
zAD27	u584C		#	塌	
zAD28	u57BF		#	垿	
zAD29	u59EE		#	姮	
zAD2A	u5AA7		#	媧	
zAD2B	u5B19		#	嬙	
zAD2C	u6E32		#	渲	
zAD2D	u6D26		#	洦	
zAD2E	u6EC7		#	滇	
zAD2F	u6F59		#	潙	
zAD30	u6FB6		#	澶	
zAD31	u6DAE		#	涮	
zAD32	u6DAA		#	涪	
zAD33	u5550		#	啐	
zAD34	u5688		#	嚈	
zAD35	u5660		#	噠	
zAD36	u5F34		#	弴	
zAD37	u54C6		#	哆	
zAD38	u56B3		#	嚳	
zAD39	u6D31		#	洱	
zAD3A	u7043		#	灃	
zAD3B	u6FDE		#	濞	
zAD3C	u6E49		#	湉	
zAD3D	u6CC6		#	泆	
zAD3E	u6D39		#	洹	
zAD3F	u662B		#	昫	
zAD40	u66A0		#	暠	
zAD41	u6615		#	昕	
zAD42	u663A		#	昺	
zAD43	u6872		#	桲	
zAD44	u6A49		#	橉	
zAD45	u7ABC		#	窼	
zAD46	u7A47		#	穇	
zAD47	u79EB		#	秫	
zAD48	u79ED		#	秭	
zAD49	u799B		#	禛	
zAD4A	u795C		#	祜	
zAD4B	u7979		#	祹	
zAD4C	u8707		#	蜇	
zAD4D	u86FC		#	蛼	
zAD4E	u869C		#	蚜	
zAD4F	u8689		#	蚉	
zAD50	u86FD		#	蛽	
zAD52	u87B5		#	螵	
zAD53	u8687		#	蚇	
zAD54	u8793		#	螓	
zAD55	u8710		#	蜐	
zAD56	u7600		#	瘀	
zAD58	u763C		#	瘼	
zAD5A	u75F1		#	痱	
zAD5B	u766F		#	癯	
zAD5C	u7641		#	癁	
zAD5D	u7934		#	礴	
zAD5E	u791C		#	礜	
zAD5F	u7809		#	砉	
zAD60	u8037		#	耷	
zAD61	u803C		#	耼	
zAD63	u8ED1		#	軑	
zAD64	u8F58		#	轘	
zAD65	u8F00		#	輀	
zAD66	u9B79		#	魹	
zAD67	u97F4		#	韴	
zAD68	u97B2		#	鞲	
zAD6B	u9BB2		#	鮲	
zAD6D	u9C18		#	鰘	
zAD6F	u9C19		#	鰙	
zAD70	u9BDD		#	鯝	
zAD71	u9C23		#	鰣	
zAD72	u9BFD		#	鯽	
zAD74	u9B76		#	魶	
zAD75	u9C1A		#	鰚	
zAD76	u9C72		#	鱲	
zAD77	u9C5C		#	鱜	
zAD79	u9C4A		#	鱊	
zAD7A	u9C50		#	鱐	
zAD7B	u9C5F		#	鱟	
zAD7C	u9B63		#	魣	
zAD7D	u9B6B		#	魫	
zAD7E	u9A4E		#	驎	
zAE21	u9EAF		#	麯	
zAE22	u9A4C		#	驌	
zAE23	u9A2E		#	騮	
zAE24	u9A4A		#	驊	異体字?
zAE25	u99C3		#	駃	
zAE26	u9A20		#	騠	
zAE27	u99F0		#	駰	
zAE28	u9A2D		#	騭	
zAE29	u9E85		#	麅	
zAE2A	u9E9E		#	麞	
zAE2C	-		#		にんべん
zAE2D	u4E5A		#	乚	
zAE2E	-		#		u2E8B(⺋)
zAE2F	u6C35		#	氵	
zAE30	u8279		#	艹	
zAE31	uFA5E		#	艹	
zAE32	u624C		#	扌	
zAE33	u961D		#	阝	
zAE34	u72AD		#	犭	
zAE35	u961D		#	阝	
zAE36	u5202		#	刂	
zAE37	-		#		やね
zAE38	u5FC4		#	忄	
zAE39	-		#		u2EB3(⺳)
zAE3A	u8002		#	耂	
zAE3B	u722B		#	爫	
zAE3C	-		#		のつ
zAE3D	u706C		#	灬	
zAE3E	-		#		u38FA(㣺)
zAE3F	u6C3A		#	氺	
zAE40	-		#		王偏 &M020824;
zAE41	u7F52		#	罒	
zAE42	u793B		#	礻	
zAE43	u8864		#	衤	
zAE44	u98E0		#	飠	食
zAE45	-		#		食
zAE46	-		#		「末」の初二画
zAE47	-		#		すてふで
zAE48	-		#		合字（トキ）
zAE49	-		#		合字（こと）
zAE4A	-		#		かりがねてん 
zAE4B	-		#		「玄」の欠画
zAE4C	-		#		「統」の欠画
zAE4D	-		#		たまへんの偏
zAE4E	-		#		尩の部分
zAE4F	-		#		一字金輪仏頂尊
zAE51	-		#		異体文字「こ」
zAE52	-		#		異体文字「は」
zAE53	-		#		変体仮名「い」
zAE54	-		#		変体仮名「た」
zAE55	-		#		変体仮名「か」
zAE56	-	*	#		
zAE57	-	**	#		
zAE58	u00A9		#	©	
zAE59	u266E		#	♮	
zAE5A	-		#		《楽》延長記号
zAE5B	-		#		《楽》延長記号
zAE5C	-		#		16分音符
zAE5D	-	***	#		
zAE5E	-	*	#		上付*
zAE5F	u3299	(秘)	#	㊙	
zAE60	u261E		#	☞	
zAE61	-		#		《楽》スラー
zAE62	-		#		《楽》スラー
zAE63	-		#		フランス王家のイチハツ紋
zAE64	-		#		ハーケンクロイツ(45度傾く)
zAE65	-		#		右まんじ(卍の逆)
zAE66	-		#	✓	tick 照合〔チェック〕の印
zAE67	-		#		古英語のp(近代のth)
zAE68	-	c/o	#		care of
zAE69	u00AE	(R)	#	®	
zAE6A	-	3√a	#		
zAE6B	u00C6	AE	#	Æ	
zAE6C	u00E6	ae	#	æ	
zAE6D	-	ffi	#		uFB03
zAE6E	uFB02	fl	#	ﬂ	
zAE6F	-	n√	#		
zAE70	u0153	oe	#	œ	
zAE71	u2218	○	#	∘	
zAE72	-	+-	#		+と-を合わせた記号
zAE73	-		#		やまがた
zAE74	u2127		#	℧	
zAE75	-	√2	#		
zAE76	-	√a	#		
zAE77	u00A9		#	©	
zAE78	-	(公)	#		
zAE79	u329C	(適)	#	㊜	丸適マーク
zAE7A	u3016	【	#	〖	
zAE7B	u3017	】	#	〗	
zAE7C	-		#		(未使用)
zAE7D	-		#		(未使用)
zAE7E	-		#		(未使用)
zAF21	-		#		(未使用)
zAF22	-		#		(未使用)
zAF23	-		#		(未使用)
zAF24	-		#		(未使用)
zAF25	-		#		(未使用)
zAF26	-		#		(未使用)
zAF27	-		#		(未使用)
zAF28	-		#		(未使用)
zAF29	-		#		(未使用)
zAF2A	-		#		(未使用)
zAF2B	-		#		(未使用)
zAF2C	-		#		(未使用)
zAF2D	-		#		(未使用)
zAF2E	-		#		(未使用)
zAF2F	-		#		(未使用)
zAF30	-		#		(未使用)
zAF31	-		#		(未使用)
zAF32	-		#		(未使用)
zAF33	-		#		(未使用)
zAF34	-		#		(未使用)
zAF35	-		#		(未使用)
zAF36	-		#		(未使用)
zAF37	-		#		(未使用)
zAF38	-		#		(未使用)
zAF39	-		#		(未使用)
zAF3A	-		#		(未使用)
zAF3B	-		#		(未使用)
zAF3C	-		#		(未使用)
zAF3D	-		#		(未使用)
